std_lightness	std_bkg_val	cmp_bkg_vals_bkg_30.0000	lightness_vals_bkg_30.0000	n_cmp_chsn_bkg_30.0000	n_trials_bkg_30.0000	cmp_bkg_vals_bkg_40.0000	lightness_vals_bkg_40.0000	n_cmp_chsn_bkg_40.0000	n_trials_bkg_40.0000	cmp_bkg_vals_bkg_50.0000	lightness_vals_bkg_50.0000	n_cmp_chsn_bkg_50.0000	n_trials_bkg_50.0000	n_cmp_chsn_bkg_30.0000_SEM	n_cmp_chsn_bkg_40.0000_SEM	n_cmp_chsn_bkg_50.0000_SEM	n_cmp_chsn_bkg_30.0000_original_mean	n_cmp_chsn_bkg_40.0000_original_mean	n_cmp_chsn_bkg_50.0000_original_mean
40.0000	40.0000	30.0000	30.0000	1	30	40.0000	30.0000	0	30	50.0000	30.0000	3	30	0.4773	0.3333	1.4926	0.8333	0.3333	2.8333
40.0000	40.0000	30.0000	32.0000	4	30	40.0000	32.0000	1	30	50.0000	32.0000	3	30	1.5275	0.4014	1.8738	4.0000	0.8333	3.3333
40.0000	40.0000	30.0000	34.0000	10	30	40.0000	34.0000	2	30	50.0000	34.0000	4	30	3.3706	0.9309	2.2123	9.8333	2.0000	3.8333
40.0000	40.0000	30.0000	36.0000	17	30	40.0000	36.0000	4	30	50.0000	36.0000	3	30	2.5647	0.8851	1.9047	16.6667	3.5000	3.1667
40.0000	40.0000	30.0000	38.0000	16	30	40.0000	38.0000	6	30	50.0000	38.0000	6	30	3.1561	0.9220	2.1667	16.1667	5.5000	5.8333
40.0000	40.0000	30.0000	40.0000	24	30	40.0000	40.0000	17	30	50.0000	40.0000	7	30	2.0723	1.3520	2.6384	23.8333	17.1667	6.8333
40.0000	40.0000	30.0000	42.0000	24	30	40.0000	42.0000	17	30	50.0000	42.0000	10	30	2.0883	0.4944	2.3863	23.8333	17.3333	9.8333
40.0000	40.0000	30.0000	44.0000	26	30	40.0000	44.0000	23	30	50.0000	44.0000	16	30	1.5794	2.0399	3.8420	25.8333	22.8333	16.1667
40.0000	40.0000	30.0000	46.0000	27	30	40.0000	46.0000	27	30	50.0000	46.0000	18	30	1.4757	0.9189	2.4449	26.6667	27.3333	17.6667
40.0000	40.0000	30.0000	48.0000	28	30	40.0000	48.0000	28	30	50.0000	48.0000	23	30	1.3601	0.9189	2.2460	27.5000	27.6667	22.6667
40.0000	40.0000	30.0000	50.0000	28	30	40.0000	50.0000	30	30	50.0000	50.0000	25	30	0.9545	0.3416	1.4472	28.3333	29.5000	24.8333
