std_lightness	std_bkg_val	cmp_bkg_vals_bkg_60.0000	lightness_vals_bkg_60.0000	n_cmp_chsn_bkg_60.0000	n_trials_bkg_60.0000	cmp_bkg_vals_bkg_70.0000	lightness_vals_bkg_70.0000	n_cmp_chsn_bkg_70.0000	n_trials_bkg_70.0000	cmp_bkg_vals_bkg_80.0000	lightness_vals_bkg_80.0000	n_cmp_chsn_bkg_80.0000	n_trials_bkg_80.0000
70	70	60	60	6	30	70	60	1	30	80	60	0	30
70	70	60	62	9	30	70	62	2	30	80	62	1	30
70	70	60	64	14	30	70	64	4	30	80	64	1	30
70	70	60	66	21	30	70	66	6	30	80	66	2	30
70	70	60	68	22	30	70	68	11	30	80	68	3	30
70	70	60	70	24	30	70	70	13	30	80	70	6	30
70	70	60	72	24	30	70	72	21	30	80	72	7	30
70	70	60	74	27	30	70	74	21	30	80	74	12	30
70	70	60	76	27	30	70	76	25	30	80	76	17	30
70	70	60	78	28	30	70	78	26	30	80	78	18	30
70	70	60	80	29	30	70	80	28	30	80	80	19	30
