subject	condition	-10.0000	0.0000	10.0000
subject_apple	condition_1	1.3570	1.2560	1.9485
subject_apple	condition_2	2.2600	2.1793	1.8641
subject_apple	condition_3	3.3379	3.0704	3.0612
subject_cherry	condition_1	1.0355	0.9026	0.8275
subject_cherry	condition_2	1.6832	1.1871	1.4256
subject_cherry	condition_3	1.6000	2.4106	1.9949
subject_grape	condition_1	0.9919	0.8385	1.4041
subject_grape	condition_2	1.5640	1.6038	2.1360
subject_grape	condition_3	2.7959	2.5759	2.4902
subject_orange	condition_1	1.7986	1.4890	1.3891
subject_orange	condition_2	1.3811	2.1747	2.0628
subject_orange	condition_3	3.1217	2.6060	2.2444
subject_peach	condition_1	1.1234	0.9714	1.5471
subject_peach	condition_2	1.6065	1.2673	1.6508
subject_peach	condition_3	2.2123	2.3107	2.0159
subject_pineapple	condition_1	2.3463	1.8938	3.2386
subject_pineapple	condition_2	1.9513	2.0995	2.3698
subject_pineapple	condition_3	3.6217	2.7571	2.9423
