subject	condition	background_diff	half	n_trials	pse_luminance
subject_apple	condition_1	-10	first	165	17.3394
subject_apple	condition_1	-10	second	165	16.9672
subject_apple	condition_1	0	first	150	17.2133
subject_apple	condition_1	0	second	150	16.5131
subject_apple	condition_1	10	first	165	15.5579
subject_apple	condition_1	10	second	165	15.8206
subject_apple	condition_2	-10	first	165	27.6767
subject_apple	condition_2	-10	second	165	27.3418
subject_apple	condition_2	0	first	150	29.8500
subject_apple	condition_2	0	second	150	28.7079
subject_apple	condition_2	10	first	165	30.6895
subject_apple	condition_2	10	second	165	31.3506
subject_apple	condition_3	-10	first	165	41.3812
subject_apple	condition_3	-10	second	165	41.2628
subject_apple	condition_3	0	first	150	42.6613
subject_apple	condition_3	0	second	150	42.2246
subject_apple	condition_3	10	first	165	43.3732
subject_apple	condition_3	10	second	165	43.9985
subject_cherry	condition_1	-10	first	165	13.6658
subject_cherry	condition_1	-10	second	165	13.7671
subject_cherry	condition_1	0	first	150	17.0992
subject_cherry	condition_1	0	second	150	16.8428
subject_cherry	condition_1	10	first	165	19.6639
subject_cherry	condition_1	10	second	165	19.9768
subject_cherry	condition_2	-10	first	165	23.1672
subject_cherry	condition_2	-10	second	165	25.6538
subject_cherry	condition_2	0	first	150	28.7145
subject_cherry	condition_2	0	second	150	28.8436
subject_cherry	condition_2	10	first	165	32.2141
subject_cherry	condition_2	10	second	165	33.0553
subject_cherry	condition_3	-10	first	165	38.5452
subject_cherry	condition_3	-10	second	165	37.8073
subject_cherry	condition_3	0	first	150	41.9144
subject_cherry	condition_3	0	second	150	41.7681
subject_cherry	condition_3	10	first	165	45.2014
subject_cherry	condition_3	10	second	165	45.3885
subject_grape	condition_1	-10	first	165	15.5256
subject_grape	condition_1	-10	second	165	15.0585
subject_grape	condition_1	0	first	150	17.1016
subject_grape	condition_1	0	second	150	17.1184
subject_grape	condition_1	10	first	165	17.4050
subject_grape	condition_1	10	second	165	17.3197
subject_grape	condition_2	-10	first	165	27.5037
subject_grape	condition_2	-10	second	165	28.2345
subject_grape	condition_2	0	first	150	28.9054
subject_grape	condition_2	0	second	150	28.8503
subject_grape	condition_2	10	first	165	30.4856
subject_grape	condition_2	10	second	165	30.9055
subject_grape	condition_3	-10	first	165	39.6519
subject_grape	condition_3	-10	second	165	39.9366
subject_grape	condition_3	0	first	150	42.1480
subject_grape	condition_3	0	second	150	42.7713
subject_grape	condition_3	10	first	165	43.4040
subject_grape	condition_3	10	second	165	43.9447
subject_orange	condition_1	-10	first	165	16.0200
subject_orange	condition_1	-10	second	165	15.6890
subject_orange	condition_1	0	first	150	16.6711
subject_orange	condition_1	0	second	150	17.0900
subject_orange	condition_1	10	first	165	18.3464
subject_orange	condition_1	10	second	165	18.8385
subject_orange	condition_2	-10	first	165	26.7641
subject_orange	condition_2	-10	second	165	27.0270
subject_orange	condition_2	0	first	150	28.8368
subject_orange	condition_2	0	second	150	29.6633
subject_orange	condition_2	10	first	165	31.8434
subject_orange	condition_2	10	second	165	31.5796
subject_orange	condition_3	-10	first	165	40.3444
subject_orange	condition_3	-10	second	165	39.4187
subject_orange	condition_3	0	first	150	42.6425
subject_orange	condition_3	0	second	150	41.4671
subject_orange	condition_3	10	first	165	43.7751
subject_orange	condition_3	10	second	165	44.4101
subject_peach	condition_1	-10	first	165	14.4992
subject_peach	condition_1	-10	second	165	14.3958
subject_peach	condition_1	0	first	150	17.1257
subject_peach	condition_1	0	second	150	16.8885
subject_peach	condition_1	10	first	165	19.6397
subject_peach	condition_1	10	second	165	19.3118
subject_peach	condition_2	-10	first	165	25.7815
subject_peach	condition_2	-10	second	165	26.5483
subject_peach	condition_2	0	first	150	29.2355
subject_peach	condition_2	0	second	150	29.2408
subject_peach	condition_2	10	first	165	31.7621
subject_peach	condition_2	10	second	165	32.2641
subject_peach	condition_3	-10	first	165	38.5659
subject_peach	condition_3	-10	second	165	39.6246
subject_peach	condition_3	0	first	150	41.8900
subject_peach	condition_3	0	second	150	42.2593
subject_peach	condition_3	10	first	165	44.0564
subject_peach	condition_3	10	second	165	45.1827
subject_pineapple	condition_1	-10	first	165	16.9163
subject_pineapple	condition_1	-10	second	165	16.1271
subject_pineapple	condition_1	0	first	150	17.4167
subject_pineapple	condition_1	0	second	150	17.3109
subject_pineapple	condition_1	10	first	165	17.2888
subject_pineapple	condition_1	10	second	165	16.4094
subject_pineapple	condition_2	-10	first	165	27.3645
subject_pineapple	condition_2	-10	second	165	26.9650
subject_pineapple	condition_2	0	first	150	29.2336
subject_pineapple	condition_2	0	second	150	30.0245
subject_pineapple	condition_2	10	first	165	31.8319
subject_pineapple	condition_2	10	second	165	31.3428
subject_pineapple	condition_3	-10	first	165	38.7568
subject_pineapple	condition_3	-10	second	165	38.3042
subject_pineapple	condition_3	0	first	150	41.8388
subject_pineapple	condition_3	0	second	150	41.4968
subject_pineapple	condition_3	10	first	165	43.7324
subject_pineapple	condition_3	10	second	165	44.1937
