std_lightness	std_bkg_val	cmp_bkg_vals_bkg_90.0000	lightness_vals_bkg_90.0000	n_cmp_chsn_bkg_90.0000	n_trials_bkg_90.0000	cmp_bkg_vals_bkg_100.0000	lightness_vals_bkg_100.0000	n_cmp_chsn_bkg_100.0000	n_trials_bkg_100.0000	cmp_bkg_vals_bkg_110.0000	lightness_vals_bkg_110.0000	n_cmp_chsn_bkg_110.0000	n_trials_bkg_110.0000
100.0000	100.0000	90.0000	90.0000	55	180	100.0000	90.0000	14	180	110.0000	90.0000	5	180
100.0000	100.0000	90.0000	92.0000	73	180	100.0000	92.0000	22	180	110.0000	92.0000	11	180
100.0000	100.0000	90.0000	94.0000	73	180	100.0000	94.0000	36	180	110.0000	94.0000	15	180
100.0000	100.0000	90.0000	96.0000	89	180	100.0000	96.0000	49	180	110.0000	96.0000	20	180
100.0000	100.0000	90.0000	98.0000	117	180	100.0000	98.0000	72	180	110.0000	98.0000	25	180
100.0000	100.0000	90.0000	100.0000	129	180	100.0000	100.0000	96	180	110.0000	100.0000	43	180
100.0000	100.0000	90.0000	102.0000	139	180	100.0000	102.0000	96	180	110.0000	102.0000	46	180
100.0000	100.0000	90.0000	104.0000	147	180	100.0000	104.0000	111	180	110.0000	104.0000	71	180
100.0000	100.0000	90.0000	106.0000	148	180	100.0000	106.0000	124	180	110.0000	106.0000	70	180
100.0000	100.0000	90.0000	108.0000	153	180	100.0000	108.0000	137	180	110.0000	108.0000	105	180
100.0000	100.0000	90.0000	110.0000	165	180	100.0000	110.0000	141	180	110.0000	110.0000	117	180
