std_lightness	std_bkg_val	cmp_bkg_vals_bkg_90.0000	lightness_vals_bkg_90.0000	n_cmp_chsn_bkg_90.0000	n_trials_bkg_90.0000	cmp_bkg_vals_bkg_100.0000	lightness_vals_bkg_100.0000	n_cmp_chsn_bkg_100.0000	n_trials_bkg_100.0000	cmp_bkg_vals_bkg_110.0000	lightness_vals_bkg_110.0000	n_cmp_chsn_bkg_110.0000	n_trials_bkg_110.0000
100.0000	100.0000	90.0000	90.0000	7	30	100.0000	90.0000	1	30	110.0000	90.0000	3	30
100.0000	100.0000	90.0000	92.0000	8	30	100.0000	92.0000	6	30	110.0000	92.0000	3	30
100.0000	100.0000	90.0000	94.0000	7	30	100.0000	94.0000	6	30	110.0000	94.0000	4	30
100.0000	100.0000	90.0000	96.0000	11	30	100.0000	96.0000	11	30	110.0000	96.0000	4	30
100.0000	100.0000	90.0000	98.0000	16	30	100.0000	98.0000	12	30	110.0000	98.0000	6	30
100.0000	100.0000	90.0000	100.0000	15	30	100.0000	100.0000	19	30	110.0000	100.0000	11	30
100.0000	100.0000	90.0000	102.0000	20	30	100.0000	102.0000	11	30	110.0000	102.0000	14	30
100.0000	100.0000	90.0000	104.0000	15	30	100.0000	104.0000	19	30	110.0000	104.0000	13	30
100.0000	100.0000	90.0000	106.0000	19	30	100.0000	106.0000	18	30	110.0000	106.0000	10	30
100.0000	100.0000	90.0000	108.0000	23	30	100.0000	108.0000	20	30	110.0000	108.0000	19	30
100.0000	100.0000	90.0000	110.0000	26	30	100.0000	110.0000	23	30	110.0000	110.0000	21	30
