std_lightness	std_bkg_val	cmp_bkg_vals_bkg_60.0000	lightness_vals_bkg_60.0000	n_cmp_chsn_bkg_60.0000	n_trials_bkg_60.0000	cmp_bkg_vals_bkg_70.0000	lightness_vals_bkg_70.0000	n_cmp_chsn_bkg_70.0000	n_trials_bkg_70.0000	cmp_bkg_vals_bkg_80.0000	lightness_vals_bkg_80.0000	n_cmp_chsn_bkg_80.0000	n_trials_bkg_80.0000
70.0000	70.0000	60.0000	60.0000	14	30	70.0000	60.0000	1	30	80.0000	60.0000	0	30
70.0000	70.0000	60.0000	62.0000	17	30	70.0000	62.0000	1	30	80.0000	62.0000	0	30
70.0000	70.0000	60.0000	64.0000	23	30	70.0000	64.0000	0	30	80.0000	64.0000	0	30
70.0000	70.0000	60.0000	66.0000	25	30	70.0000	66.0000	8	30	80.0000	66.0000	0	30
70.0000	70.0000	60.0000	68.0000	28	30	70.0000	68.0000	12	30	80.0000	68.0000	0	30
70.0000	70.0000	60.0000	70.0000	27	30	70.0000	70.0000	14	30	80.0000	70.0000	1	30
70.0000	70.0000	60.0000	72.0000	30	30	70.0000	72.0000	25	30	80.0000	72.0000	1	30
70.0000	70.0000	60.0000	74.0000	28	30	70.0000	74.0000	23	30	80.0000	74.0000	8	30
70.0000	70.0000	60.0000	76.0000	30	30	70.0000	76.0000	28	30	80.0000	76.0000	13	30
70.0000	70.0000	60.0000	78.0000	29	30	70.0000	78.0000	30	30	80.0000	78.0000	10	30
70.0000	70.0000	60.0000	80.0000	30	30	70.0000	80.0000	29	30	80.0000	80.0000	17	30
