std_lightness	std_bkg_val	cmp_bkg_vals_bkg_70.0000	lightness_vals_bkg_70.0000	n_cmp_chsn_bkg_70.0000	n_trials_bkg_70.0000
70.0000	70.0000	70.0000	60.0000	0	30
70.0000	70.0000	70.0000	62.0000	2	30
70.0000	70.0000	70.0000	64.0000	1	30
70.0000	70.0000	70.0000	66.0000	5	30
70.0000	70.0000	70.0000	68.0000	8	30
70.0000	70.0000	70.0000	70.0000	12	30
70.0000	70.0000	70.0000	72.0000	16	30
70.0000	70.0000	70.0000	74.0000	23	30
70.0000	70.0000	70.0000	76.0000	28	30
70.0000	70.0000	70.0000	78.0000	28	30
70.0000	70.0000	70.0000	80.0000	29	30
