std_lightness	std_bkg_val	cmp_bkg_vals_bkg_30.0000	lightness_vals_bkg_30.0000	n_cmp_chsn_bkg_30.0000	n_trials_bkg_30.0000	cmp_bkg_vals_bkg_40.0000	lightness_vals_bkg_40.0000	n_cmp_chsn_bkg_40.0000	n_trials_bkg_40.0000	cmp_bkg_vals_bkg_50.0000	lightness_vals_bkg_50.0000	n_cmp_chsn_bkg_50.0000	n_trials_bkg_50.0000
40.0000	40.0000	30.0000	30.0000	0	30	40.0000	30.0000	0	30	50.0000	30.0000	3	30
40.0000	40.0000	30.0000	32.0000	2	30	40.0000	32.0000	0	30	50.0000	32.0000	1	30
40.0000	40.0000	30.0000	34.0000	6	30	40.0000	34.0000	0	30	50.0000	34.0000	1	30
40.0000	40.0000	30.0000	36.0000	16	30	40.0000	36.0000	1	30	50.0000	36.0000	3	30
40.0000	40.0000	30.0000	38.0000	16	30	40.0000	38.0000	3	30	50.0000	38.0000	7	30
40.0000	40.0000	30.0000	40.0000	27	30	40.0000	40.0000	16	30	50.0000	40.0000	9	30
40.0000	40.0000	30.0000	42.0000	27	30	40.0000	42.0000	19	30	50.0000	42.0000	15	30
40.0000	40.0000	30.0000	44.0000	29	30	40.0000	44.0000	25	30	50.0000	44.0000	21	30
40.0000	40.0000	30.0000	46.0000	29	30	40.0000	46.0000	28	30	50.0000	46.0000	23	30
40.0000	40.0000	30.0000	48.0000	30	30	40.0000	48.0000	30	30	50.0000	48.0000	26	30
40.0000	40.0000	30.0000	50.0000	30	30	40.0000	50.0000	30	30	50.0000	50.0000	28	30
